iter	Passed	Remaining
471	709	793
472	710	791
473	711	789
474	712	787
475	714	786
476	716	785
477	717	783
478	718	781
479	719	779
480	720	777
481	721	775
482	722	773
483	723	771
484	724	769
485	725	767
486	726	765
487	728	764
488	730	763
489	731	761
490	732	759
491	734	757
492	735	755
493	736	753
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	742	742
500	744	741
501	745	739
502	746	738
503	747	736
504	748	734
505	750	732
506	750	730
507	751	728
508	752	726
509	753	724
510	754	722
511	755	720
512	756	718
513	758	717
514	761	716
515	762	714
516	763	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	697
525	773	697
526	775	696
527	776	694
528	777	692
529	778	690
530	779	688
531	780	686
532	781	684
533	782	682
534	783	680
535	784	678
536	785	677
537	786	675
538	787	673
539	789	672
540	790	670
541	791	669
542	792	667
543	793	665
544	794	663
545	796	662
546	797	660
547	798	658
548	799	656
549	800	654
550	801	652
551	802	651
552	804	650
553	805	648
554	806	646
555	807	644
556	808	643
557	809	641
558	810	639
559	811	637
560	812	635
561	813	633
562	814	631
563	815	630
564	818	630
565	820	629
566	821	627
567	822	625
568	823	623
569	824	622
570	825	620
571	826	618
572	827	616
573	828	614
574	829	613
575	830	611
576	831	609
577	832	608
578	834	607
579	835	605
580	836	603
581	837	601
582	838	600
583	839	598
584	841	596
585	842	594
586	843	593
587	844	591
588	845	589
589	846	588
590	848	587
591	850	585
592	851	584
593	852	582
594	854	581
595	855	579
596	856	578
597	857	576
598	858	574
599	859	573
600	861	571
601	863	570
602	864	569
603	867	568
604	868	567
605	869	565
606	870	563
607	871	562
608	872	560
609	873	558
610	874	557
611	876	555
612	878	554
613	879	553
614	881	551
615	882	550
616	883	548
617	884	546
618	885	545
619	886	543
620	887	541
621	888	540
622	889	538
623	891	537
624	893	536
625	895	534
626	896	533
627	897	531
628	898	529
629	899	528
630	900	526
631	901	524
632	903	523
633	904	522
634	907	521
635	909	520
636	910	518
637	912	517
638	913	516
639	914	514
640	915	512
641	916	511
642	917	509
643	919	508
644	920	506
645	923	506
646	925	504
647	926	503
648	926	501
649	927	499
650	928	498
651	929	496
652	930	494
653	931	493
654	933	491
655	934	489
656	935	488
657	937	487
658	939	486
659	941	484
660	942	483
661	943	481
662	944	480
663	945	478
664	946	476
665	947	475
666	949	473
667	951	472
668	953	471
669	954	470
670	955	468
671	956	466
672	957	465
673	958	463
674	959	462
675	960	460
676	962	458
677	963	457
678	964	455
679	966	455
680	968	453
681	970	452
682	971	450
683	972	449
684	973	447
685	974	445
686	975	444
687	977	443
688	979	441
689	981	440
690	984	440
691	985	438
692	988	437
693	990	436
694	991	435
695	993	433
696	994	432
697	996	431
698	999	430
699	1001	429
700	1002	427
701	1004	426
702	1006	425
703	1007	423
704	1008	422
705	1009	420
706	1012	419
707	1016	419
708	1017	417
709	1018	415
710	1019	414
711	1020	412
712	1021	411
713	1022	409
714	1024	408
715	1025	406
716	1028	406
717	1030	404
718	1031	402
719	1032	401
720	1033	399
721	1034	398
722	1036	396
723	1037	395
724	1038	393
725	1039	392
726	1045	392
727	1047	391
728	1048	389
729	1050	388
730	1051	387
731	1053	385
732	1054	384
733	1059	383
734	1060	382
735	1062	380
736	1063	379
737	1064	377
738	1065	376
739	1066	374
740	1067	373
741	1068	371
742	1069	369
743	1070	368
744	1072	366
745	1073	365
746	1075	364
747	1076	362
748	1077	361
749	1078	359
750	1079	357
751	1080	356
752	1081	354
753	1082	353
754	1083	351
755	1084	350
756	1089	349
757	1090	348
758	1091	346
759	1092	345
760	1093	343
761	1094	341
762	1095	340
763	1097	338
764	1098	337
765	1099	335
766	1100	334
767	1101	332
768	1103	331
769	1105	330
770	1106	328
771	1107	327
772	1109	325
773	1110	324
774	1112	322
775	1113	321
776	1114	319
777	1119	319
778	1121	318
779	1122	316
780	1123	315
781	1124	313
782	1125	312
783	1126	310
784	1127	308
785	1128	307
786	1129	305
787	1130	304
788	1132	302
789	1134	301
790	1136	300
791	1137	298
792	1138	297
793	1139	295
794	1141	294
795	1142	292
796	1143	291
797	1144	289
798	1148	288
799	1149	287
800	1151	285
801	1152	284
802	1153	283
803	1155	281
804	1156	280
805	1157	278
806	1158	277
807	1159	275
808	1162	274
809	1164	273
810	1165	271
811	1167	270
812	1168	268
813	1169	267
814	1170	265
815	1171	264
816	1172	262
817	1174	261
818	1175	259
819	1177	258
820	1179	257
821	1180	255
822	1181	254
823	1183	252
824	1184	251
825	1185	249
826	1186	248
827	1187	246
828	1188	245
829	1189	243
830	1191	242
831	1193	241
832	1195	239
833	1196	238
834	1197	236
835	1198	235
836	1199	233
837	1200	232
838	1201	230
839	1202	229
840	1203	227
841	1204	226
842	1206	224
843	1208	223
844	1209	221
845	1210	220
846	1211	218
847	1212	217
848	1213	215
849	1214	214
850	1216	212
851	1217	211
852	1218	209
853	1219	208
854	1220	206
855	1221	205
856	1223	204
857	1224	202
858	1225	201
859	1226	199
860	1227	198
861	1228	196
862	1229	195
863	1230	193
864	1231	192
865	1232	190
866	1233	189
867	1234	187
868	1235	186
869	1238	185
870	1239	183
871	1240	182
872	1241	180
873	1242	179
874	1243	177
875	1244	176
876	1245	174
877	1246	173
878	1247	171
879	1248	170
880	1249	168
881	1251	167
882	1253	166
883	1254	164
884	1255	163
885	1256	161
886	1257	160
887	1258	158
888	1259	157
889	1260	155
890	1261	154
891	1262	152
892	1263	151
893	1264	149
894	1265	148
895	1266	147
896	1268	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1273	138
902	1274	136
903	1275	135
904	1276	134
905	1277	132
906	1278	131
907	1279	129
908	1281	128
909	1283	126
910	1284	125
911	1285	124
912	1286	122
913	1287	121
914	1288	119
915	1288	118
916	1289	116
917	1290	115
918	1291	113
919	1292	112
920	1293	110
921	1294	109
922	1298	108
923	1300	106
924	1301	105
925	1302	104
926	1303	102
927	1303	101
928	1304	99
929	1305	98
930	1306	96
931	1307	95
932	1308	93
933	1309	92
934	1310	91
935	1311	89
936	1313	88
937	1315	86
938	1316	85
939	1317	84
940	1318	82
941	1319	81
942	1320	79
943	1321	78
944	1322	76
945	1323	75
946	1324	74
947	1325	72
948	1328	71
949	1329	69
950	1330	68
951	1331	67
952	1332	65
953	1333	64
954	1334	62
955	1336	61
956	1337	60
957	1338	58
958	1339	57
959	1341	55
960	1343	54
961	1345	53
962	1346	51
963	1347	50
964	1348	48
965	1349	47
966	1350	46
967	1351	44
968	1353	43
969	1354	41
970	1357	40
971	1359	39
972	1360	37
973	1361	36
974	1362	34
975	1364	33
976	1365	32
977	1366	30
978	1367	29
979	1369	27
980	1370	26
981	1372	25
982	1373	23
983	1375	22
984	1376	20
985	1377	19
986	1378	18
987	1379	16
988	1381	15
989	1382	13
990	1383	12
991	1384	11
992	1386	9
993	1388	8
994	1389	6
995	1390	5
996	1391	4
997	1393	2
998	1394	1
999	1395	0
